,model
2010-11-04,2.7060978427886426
2010-11-05,2.063524194812044
2010-11-08,2.799924284623379
2010-11-09,0.7650920483801493
2010-11-10,1.8834544331828318
2010-11-11,3.1050316942927525
2010-11-12,1.0410964958689957
2010-11-15,1.0995530706480428
2010-11-16,1.2979479485137275
2010-11-17,2.9092011322934948
2010-11-18,1.506549939068045
2010-11-19,0.9015630200399689
2010-11-22,2.9949589223655537
2010-11-24,1.9146483330149033
2010-11-25,-0.11600946558506786
2010-11-26,0.5485529768033793
2010-11-29,2.0628647735493497
2010-11-30,2.979518876405182
2010-12-01,1.5997093610792732
2010-12-02,2.874997665573482
2010-12-03,3.185717304713895
2010-12-06,3.2361196668056147
2010-12-07,2.3280678026398687
2010-12-08,0.9350503657446875
2010-12-09,0.621053044916962
2010-12-10,1.341494005279782
2010-12-13,2.278896790936961
2010-12-14,0.5607903885814638
2010-12-15,2.52910870634895
2010-12-16,2.8043588185098534
2010-12-17,1.7295369154020097
2010-12-20,2.2925057681476853
2010-12-21,0.6964263148103391
2010-12-22,1.7666552106927806
2010-12-24,0.30893010183853375
2010-12-27,2.4619259993208598
2010-12-28,0.6386767472929993
2010-12-29,0.6212976545397291
