,model
2010-03-26,0.7543242630147254
2010-03-29,1.1738223506792913
2010-03-30,1.2222812437914643
2010-03-31,1.2175376753481535
2010-04-01,0.88968087770174
2010-04-02,1.2206406779774033
2010-04-05,0.8713008190645054
2010-04-06,1.2266291495112212
2010-04-07,1.0971154040058013
2010-04-08,0.7687885441550952
2010-04-09,1.161523791103729
2010-04-12,1.113780518846152
2010-04-13,0.9192131296132542
2010-04-14,1.135642789597501
2010-04-15,0.9351995238766732
2010-04-16,1.7747214278576355
2010-04-19,1.1611973985538402
2010-04-20,1.4230937325202297
2010-04-21,1.4189500977324543
2010-04-22,1.508386636323102
2010-04-23,1.5533015595393307
2010-04-26,1.3674904999005997
2010-04-27,1.446025774457913
2010-04-28,1.3676380559478585
2010-04-30,1.6595998979640854
2010-05-06,3.210699552564023
2010-05-07,3.70582433523418
2010-05-10,4.035591007442298
2010-05-11,1.3585779045952329
2010-05-12,3.766239989980286
2010-05-13,3.4246294051630617
2010-05-14,2.1176592838027
2010-05-17,3.3232333321605774
2010-05-18,2.0432190337091014
2010-05-19,1.1722926443206672
2010-05-20,3.1123469523277487
2010-05-21,3.5457206094506803
2010-05-24,3.7144817812737667
2010-05-25,3.7172170688893207
2010-05-26,1.9205440370406952
2010-05-27,3.699170033802245
2010-05-28,3.5236774174084395
2010-05-31,3.6907587516216163
2010-06-01,3.609961026099393
2010-06-02,2.2722751286169265
2010-06-03,3.482422914485263
2010-06-04,3.807902449900071
2010-06-07,3.5334397255415873
2010-06-08,2.232427684991749
2010-06-09,1.3952353764125156
2010-06-10,3.15864189656398
2010-06-11,3.4333072578019816
2010-06-14,1.3349104351217507
2010-06-15,1.5670735170450572
2010-06-16,1.83054160641221
2010-06-17,3.3822130211012293
2010-06-18,3.108674185996522
2010-06-21,2.9257716397920377
2010-06-22,3.012098416492534
2010-06-23,1.270262638485679
2010-06-24,2.4569788298364226
2010-06-25,1.33592630892759
2010-06-28,3.0237011316179627
2010-06-29,2.936783199369616
2010-06-30,2.938506554317642
2010-07-01,2.860393372687855
2010-07-02,3.0424345333922
2010-07-05,1.2616290148919989
2010-07-06,1.0587859433920759
2010-07-07,2.796918370862244
2010-07-08,2.368315669199982
2010-07-09,3.1384262847203823
2010-07-12,3.143136877209563
2010-07-13,3.0152383941258645
2010-07-14,3.107353593342715
2010-07-15,1.4311585860622156
2010-07-16,2.0534460015704425
2010-07-20,3.127333600634779
2010-07-21,3.2817699968892726
2010-07-22,3.1252646074003856
2010-07-23,1.8373120567302101
2010-07-26,2.1505393370112253
2010-07-27,1.4000445347716939
2010-07-28,3.1632277659135517
2010-07-29,3.2326916003845207
2010-07-30,3.038663758096387
2010-08-02,2.1944864907676553
2010-08-03,3.000158013424292
