,model
2010-03-26,2.372889956885359
2010-03-29,1.9873766758170128
2010-03-30,2.4199496888577965
2010-03-31,1.2783277339242574
2010-04-01,2.424200464471056
2010-04-02,0.6984898355928184
2010-04-05,2.457376667738207
2010-04-06,2.495534340997334
2010-04-07,2.452593117056295
2010-04-08,2.345574931884424
2010-04-09,2.3220185385850516
2010-04-12,2.2390832700318692
2010-04-13,1.8410142914418102
2010-04-14,2.3274720354488823
2010-04-15,2.374274936059236
2010-04-16,2.423219188097321
2010-04-19,1.9699498225636425
2010-04-20,2.1974421256657513
2010-04-21,2.2707419747794924
2010-04-22,2.152251557410864
2010-04-23,2.2549252538052724
2010-04-26,2.4170796390803524
2010-04-27,2.70769575221571
2010-04-28,1.639847464569431
2010-04-30,1.4493494155304556
2010-05-06,2.8808237067366447
2010-05-07,2.386451787092019
2010-05-10,1.6373704564762555
2010-05-11,1.78710729002748
2010-05-12,2.039265452301259
2010-05-13,2.0632239730865582
2010-05-14,2.1913825045792565
2010-05-17,2.0414327488487154
2010-05-18,1.90754769594455
2010-05-19,1.977474906483112
2010-05-20,2.1684264264886823
2010-05-21,2.437706958483499
2010-05-24,2.08297198395021
2010-05-25,1.2762790999340683
2010-05-26,2.2446092696456366
2010-05-27,2.310198869685625
2010-05-28,1.7636416590595014
2010-05-31,2.0292849204996726
2010-06-01,2.070314011924241
2010-06-02,2.4136893595117725
2010-06-03,2.215962014522756
2010-06-04,2.646461208471695
2010-06-07,0.9360228119858374
2010-06-08,2.91810266352437
2010-06-09,2.9599957486793786
2010-06-10,1.7959801280505305
2010-06-11,1.826718557751093
2010-06-14,2.7708866594022554
2010-06-15,1.708527979085135
2010-06-16,2.6993787044467843
2010-06-17,0.9129269103319976
2010-06-18,2.0825660290906494
2010-06-21,2.7686730119726715
2010-06-22,1.8133888272493903
2010-06-23,0.7655573002562084
2010-06-24,1.5301978983848712
2010-06-25,2.7877616874880666
2010-06-28,2.6827125123949993
2010-06-29,2.803217571876805
2010-06-30,3.0671892102304192
2010-07-01,1.7033542958400893
2010-07-02,2.7910682529777264
2010-07-05,2.3790003757970704
2010-07-06,2.9986236379175484
2010-07-07,3.017948024220376
2010-07-08,1.1093959448327164
2010-07-09,2.440490576804883
2010-07-12,2.343695118324412
2010-07-13,1.925784531007988
2010-07-14,1.9265718983063835
2010-07-15,2.653362088182637
2010-07-16,2.789314524687552
2010-07-20,2.3544067657051935
2010-07-21,2.1075014476966003
2010-07-22,1.7850250891765147
2010-07-23,1.4361223520431763
2010-07-26,2.4573557949909572
2010-07-27,2.515609990888238
2010-07-28,1.7083095458095836
2010-07-29,2.440057551526421
2010-07-30,1.214133680454593
2010-08-02,1.489054052123566
2010-08-03,2.0139198493300534
2010-08-04,2.2439357036840666
2010-08-05,1.92882171063936
2010-08-06,2.2327682380761207
2010-08-09,1.3247616569578817
2010-08-10,2.436064085620929
2010-08-11,2.5979738332128206
2010-08-12,2.8351344605252646
2010-08-13,2.6002123253407414
2010-08-16,2.8381634858061213
2010-08-17,2.829090427818062
2010-08-18,2.3196266096525626
2010-08-19,2.587434561716422
2010-08-20,2.8304853345669985
2010-08-23,2.7034022544763463
2010-08-24,1.5394795227590046
2010-08-25,3.00205279024082
2010-08-26,2.2899620082562544
2010-08-27,2.911162650512396
2010-08-30,2.8052699776448846
2010-08-31,3.1255635590524755
2010-09-01,2.991536582752154
2010-09-02,2.3186232490614507
2010-09-03,2.9143881925660913
2010-09-06,1.7710236179087269
2010-09-07,2.9526644869333967
2010-09-08,3.0950494271310416
2010-09-09,2.873445790664462
2010-09-10,2.2039590346066715
2010-09-13,1.8464918004187272
2010-09-14,2.2333291262193837
2010-09-15,1.5281857495988467
2010-09-16,2.378085446000893
2010-09-17,1.096674808999528
2010-09-21,2.391936205759327
2010-09-22,1.5085955044075654
2010-09-24,2.4584771745105702
2010-09-27,1.8125624282662705
2010-09-28,1.3651312133692017
2010-09-29,1.6491484284620048
2010-09-30,0.9934450279993304
2010-10-01,1.9829958254551796
2010-10-04,2.2145910690594093
2010-10-05,2.107431729257374
2010-10-06,1.2601060138818059
2010-10-07,1.4382133233651042
2010-10-08,2.275923364547687
2010-10-12,2.107579196759824
2010-10-13,1.8786159349443223
2010-10-14,2.041449201335374
2010-10-15,1.0939835553843364
2010-10-18,2.1324298528024617
2010-10-19,1.2345532515815567
2010-10-20,2.4149640271284314
2010-10-21,2.2380685147624204
2010-10-22,1.4053550752944441
2010-10-25,2.269728000642917
2010-10-26,2.311213985041206
2010-10-27,0.4864356533124111
2010-10-28,1.0365963780549878
2010-10-29,2.271081982358612
2010-11-01,2.2779819334653055
2010-11-02,2.2539683457880235
2010-11-04,2.088443396823272
2010-11-05,1.920481112381545
2010-11-08,1.1745021588768312
2010-11-09,1.8724730039801685
2010-11-10,2.0823352683892495
2010-11-11,2.092515611208417
2010-11-12,2.146020355556672
2010-11-15,1.4529986524323264
2010-11-16,1.7707823794424307
2010-11-17,1.3224253485591204
2010-11-18,2.031995938683786
2010-11-19,1.3304089725518207
2010-11-22,2.1668097065766188
2010-11-24,1.364912866353287
2010-11-25,1.1304616265283338
2010-11-26,1.313612504030312
2010-11-29,2.3439722008206805
2010-11-30,1.3964751228620627
2010-12-01,2.3891447878154275
2010-12-02,1.1238732634502502
2010-12-03,2.2407870490349793
2010-12-06,2.2589590262910324
2010-12-07,1.904315954912613
2010-12-08,1.931253547440559
2010-12-09,0.9569320773920442
2010-12-10,1.4503035357864937
2010-12-13,2.539722407880774
2010-12-14,0.8074674096412047
2010-12-15,2.264588809532372
2010-12-16,2.54756955103833
2010-12-17,2.5675844892048247
2010-12-20,2.56462317270926
2010-12-21,2.5218573263139317
2010-12-22,0.43206313669686125
2010-12-24,2.6388984321821005
2010-12-27,2.11252603147101
2010-12-28,1.6974918458057677
2010-12-29,0.3677822225234393
