,model
2010-03-29,0.5390435303549737
2010-03-30,0.5063894726534655
2010-03-31,0.4984185746981815
2010-04-01,0.43100720081687427
2010-04-02,0.4031851044347244
2010-04-05,0.49978980747807955
2010-04-06,0.4576863935975038
2010-04-07,0.2969886458854855
2010-04-08,0.23267549336559973
2010-04-09,0.23790441542554835
2010-04-12,0.6601673815249317
2010-04-13,0.23336712920056402
2010-04-14,0.3285284839817546
2010-04-15,0.3495965159479518
2010-04-16,0.08676223293960669
2010-04-19,0.8719656587558823
2010-04-20,0.5062594182226442
2010-04-21,1.3164606329973116
2010-04-22,0.53379212046255
2010-04-23,0.4146859277675428
2010-04-26,0.4981325695243819
2010-04-27,0.47024860823381576
2010-04-28,1.044227726538844
2010-04-30,1.4990131955584431
2010-05-06,2.1948050923789824
2010-05-07,3.013439009165642
2010-05-10,3.0991792777406997
2010-05-11,1.5458195956517917
2010-05-12,0.8340984760600229
2010-05-13,1.5164618035977748
2010-05-14,1.5774595969021385
2010-05-17,1.743446270302941
2010-05-18,1.7080116678244899
2010-05-19,1.8255065837032405
2010-05-20,0.8210748222206568
2010-05-21,2.2635510463252313
2010-05-24,0.8469916878756149
2010-05-25,1.4595573336962335
2010-05-26,0.9060257713131814
2010-05-27,1.3461578918212262
2010-05-28,1.4448259086104103
2010-05-31,0.8742840012408072
2010-06-01,0.7351907578659682
2010-06-02,0.9397451792151934
2010-06-03,1.8412603935717684
2010-06-04,1.9316533881661044
2010-06-07,2.4261200642361502
2010-06-08,0.8451138515919944
2010-06-09,0.8172177020025811
2010-06-10,0.7343075572567064
2010-06-11,0.5392351817042682
2010-06-14,0.9166401354252774
2010-06-15,0.8843648996812614
2010-06-16,0.7794990982557852
2010-06-17,0.27526265570374403
2010-06-18,0.32659963631947864
2010-06-21,0.1563335141226742
2010-06-22,0.6759106137184412
2010-06-23,1.1055821323718207
2010-06-24,0.7745505446294797
2010-06-25,1.572718806903191
2010-06-28,0.38744941679571565
2010-06-29,0.7475694017616096
2010-06-30,0.9810806576123556
2010-07-01,1.125679039646134
2010-07-02,1.036629219146374
2010-07-05,0.5697197501645241
2010-07-06,0.6250683615405073
2010-07-07,0.2516046782410302
2010-07-08,0.7623279023972811
2010-07-09,0.3098938801055302
2010-07-12,0.41292059144223897
2010-07-13,0.41052821041514687
2010-07-14,0.5047020711878355
2010-07-15,0.8853012629781919
2010-07-16,1.126524996317113
2010-07-20,1.2466975779674125
2010-07-21,1.114596074150875
2010-07-22,1.2258892142959215
2010-07-23,0.9018335776775841
2010-07-26,1.0307143123327451
2010-07-27,1.0601745576061135
2010-07-28,0.8435677675055059
2010-07-29,0.6866605228921251
2010-07-30,0.5933565461050159
2010-08-02,0.37598626775456173
2010-08-03,0.18381998177879766
2010-08-04,0.7150373143150481
2010-08-05,1.9382815308368133
2010-08-06,0.67143549572877
2010-08-09,0.9161927789080887
2010-08-10,0.7930665385584057
2010-08-11,1.2132571725737382
2010-08-12,1.731141192097271
2010-08-13,1.6673364489731088
2010-08-16,1.3952736561170964
2010-08-17,1.0696733506636156
2010-08-18,1.1973855815712087
2010-08-19,1.008836524362858
2010-08-20,1.3584804913410402
2010-08-23,0.6734841714793981
2010-08-24,1.2799510364365596
2010-08-25,1.361142831381188
2010-08-26,1.2887851574063556
2010-08-27,1.2834862905508986
2010-08-30,1.0745861906288159
2010-08-31,2.0575058481004076
2010-09-01,1.981569733937177
2010-09-02,1.9263664408104257
2010-09-03,0.6130789614657897
2010-09-06,0.9430845304610276
2010-09-07,0.754048506451956
2010-09-08,1.0414765016168777
2010-09-09,0.8563205841812904
2010-09-10,0.8601545711355931
2010-09-13,0.6629254256729312
2010-09-14,0.6001484477888835
2010-09-15,0.5072476422882894
2010-09-16,1.1194334923166993
2010-09-17,1.1262265494797938
2010-09-21,0.7584634969004329
2010-09-22,0.5089600322720509
2010-09-24,0.8302100285141407
2010-09-27,-0.11005299460791039
2010-09-28,0.772385667968464
2010-09-29,0.6680072241358708
2010-09-30,0.574888843326428
2010-10-01,0.5659563017081467
2010-10-04,0.48271481527720217
2010-10-05,0.6759582680354146
2010-10-06,0.9234892076746037
2010-10-07,1.0659411014217828
2010-10-08,0.46542100909141126
2010-10-12,0.5285286607766247
2010-10-13,0.5384744466457945
2010-10-14,0.7339088303639862
2010-10-15,0.8668771272535684
2010-10-18,0.6734634598109814
2010-10-19,0.38583186664715374
2010-10-20,0.6610197918126706
2010-10-21,1.7784083847820844
2010-10-22,1.756555476823252
2010-10-25,0.3975082256453726
2010-10-26,0.32768027687793416
2010-10-27,0.30560053756870936
2010-10-28,0.5488190708033946
2010-10-29,0.4267658474782519
2010-11-01,0.5520292275880809
2010-11-02,0.4113762735689989
2010-11-04,0.8637093381227797
2010-11-05,1.588888125559788
2010-11-08,1.6156142121720274
2010-11-09,0.607485352232735
2010-11-10,0.5400449108052643
2010-11-11,0.3925159123879572
2010-11-12,0.5296587839606601
2010-11-15,0.50562873156037
2010-11-16,0.6686077825804886
2010-11-17,0.6893594559447427
2010-11-18,0.7427971538818263
2010-11-19,1.027895427090236
