,model
2010-03-26,1.2886632927683639
2010-03-29,1.3284269007188156
2010-03-30,1.3121048953154986
2010-03-31,1.3468875038991137
2010-04-01,1.3315202182918036
2010-04-02,0.7453352922730584
2010-04-05,1.3908935799515074
2010-04-06,0.448190732099648
2010-04-07,1.3648881648723399
2010-04-08,1.0655104795792918
2010-04-09,0.8349439412640511
2010-04-12,1.134397184278874
2010-04-13,1.21536674495964
2010-04-14,1.177647743955018
2010-04-15,1.1637416981401947
2010-04-16,1.4060525583777643
2010-04-19,1.222832197936907
2010-04-20,1.224715775989182
2010-04-21,0.8532207146433917
2010-04-22,0.8842211311865846
2010-04-23,1.367020910248653
2010-04-26,1.3197384849938552
2010-04-27,2.5951380819065752
2010-04-28,1.3283260209698948
2010-04-30,1.2534428938889697
2010-05-06,2.8279885606097435
2010-05-07,2.6880099936274773
2010-05-10,2.748730688797782
2010-05-11,2.73534475164911
2010-05-12,2.7758590766359563
2010-05-13,2.8169580437560247
2010-05-14,1.9195019670319877
2010-05-17,3.0194730868561743
2010-05-18,2.5264770983717106
2010-05-19,2.8373787321219286
2010-05-20,3.9850484968494673
2010-05-21,2.680249296591837
2010-05-24,2.469628031004551
2010-05-25,1.0847091204343358
2010-05-26,1.8576608033468904
2010-05-27,2.3359320820868943
2010-05-28,2.875789310087327
2010-05-31,3.3631579238199185
2010-06-01,3.328312288790764
2010-06-02,3.079805303385445
2010-06-03,3.1511502442531505
2010-06-04,3.171234701983734
2010-06-07,3.1726905598278767
2010-06-08,3.132270161459445
2010-06-09,1.4047477347561974
2010-06-10,2.1024808529995442
2010-06-11,2.7621113590153223
2010-06-14,3.1330763754336433
2010-06-15,1.762892751060365
2010-06-16,2.676487489330537
2010-06-17,2.383448162407832
2010-06-18,2.992373789214949
2010-06-21,3.186953463786388
2010-06-22,3.358405350454661
2010-06-23,1.8646683153898447
2010-06-24,3.1775190241511195
2010-06-25,3.135201398298947
2010-06-28,1.225357748544339
2010-06-29,2.62050125968511
2010-06-30,2.7648243349885027
2010-07-01,1.6845348866717085
2010-07-02,2.837404260197671
2010-07-05,2.72172550113713
