,model
2010-03-26,0.9315463385909889
2010-03-29,0.7226026301329954
2010-03-30,0.8525027885647809
2010-03-31,0.8416934675619165
2010-04-01,0.8404873378347121
2010-04-02,0.8402559374793545
2010-04-05,0.29297322193419495
2010-04-06,0.35361238092103864
2010-04-07,0.600371530810401
2010-04-08,0.7388204959854116
2010-04-09,0.8338949330474997
2010-04-12,0.8365868304048651
2010-04-13,0.8165812840031781
2010-04-14,0.6124755878320223
2010-04-15,0.721983828029183
2010-04-16,1.017999851907431
2010-04-19,1.2690861917195861
2010-04-20,1.1735655487150367
2010-04-21,1.209267891055562
2010-04-22,0.4970546337435658
2010-04-23,1.2569125485280912
2010-04-26,1.3917922546105808
2010-04-27,1.35378369525893
2010-04-28,1.5682506720412115
2010-04-30,2.0107691469945244
2010-05-06,3.3199512010028
2010-05-07,3.994919917696837
2010-05-10,3.5233120379260545
2010-05-11,1.299348925551648
2010-05-12,3.2926104656974924
2010-05-13,3.166081818147144
2010-05-14,3.21003850103374
2010-05-17,2.424040289164479
2010-05-18,2.6137255083353934
2010-05-19,3.7063809485482166
2010-05-20,4.447119581248899
2010-05-21,4.141625923543064
2010-05-24,2.4433212506336464
2010-05-25,3.4865326390307265
2010-05-26,2.467211763310754
2010-05-27,3.7885459065152682
2010-05-28,3.6371583081536514
2010-05-31,3.1747435209283474
2010-06-01,2.6958403583442294
2010-06-02,2.4616557778207806
2010-06-03,3.3806526467754887
2010-06-04,3.543289882928903
2010-06-07,1.9953449139214015
2010-06-08,1.8315431486126754
2010-06-09,3.3791179596975653
2010-06-10,3.3745654365131594
2010-06-11,2.4987279531852695
2010-06-14,3.0734365526756697
2010-06-15,2.362869373143811
2010-06-16,2.4955851802777023
2010-06-17,2.7099119025420535
2010-06-18,2.6622621658960783
2010-06-21,1.5759097912053028
2010-06-22,1.829962651428835
2010-06-23,2.548581094802482
2010-06-24,2.591567187484935
2010-06-25,1.6311810017822117
2010-06-28,1.2853514876710266
2010-06-29,2.7149550822329944
2010-06-30,1.7690250828929175
2010-07-01,2.9994213741646574
2010-07-02,2.799006552299547
2010-07-05,2.550922531163071
2010-07-06,2.8941651831978037
2010-07-07,2.5335226654855267
2010-07-08,2.4608573437219787
2010-07-09,1.8786724936096846
2010-07-12,2.122234144877542
2010-07-13,2.4019712555213
2010-07-14,1.63754976671301
2010-07-15,1.2194919913653575
2010-07-16,2.5820859315523874
2010-07-20,2.7873307683726676
2010-07-21,1.367025739020462
2010-07-22,2.8526802877513218
2010-07-23,1.6498159489852586
2010-07-26,2.6136909549753904
2010-07-27,2.4534745339780386
2010-07-28,1.886279380537254
2010-07-29,1.7680700056367062
2010-07-30,2.3669564122822973
2010-08-02,1.9477888884972034
2010-08-03,2.2938043516790567
2010-08-04,1.8644082720230597
2010-08-05,1.8576185236628089
2010-08-06,2.301500640062737
2010-08-09,1.1083007874443842
2010-08-10,2.404665226532584
2010-08-11,2.5384307188701873
2010-08-12,2.982094490104488
2010-08-13,1.9190525815110333
2010-08-16,2.978110938654205
2010-08-17,1.834517720759717
2010-08-18,1.3971226673033896
2010-08-19,2.5316625668083628
2010-08-20,2.738103798046009
2010-08-23,1.7452237257232333
2010-08-24,1.726209894971221
2010-08-25,2.927727046772384
2010-08-26,2.895100222381827
2010-08-27,2.0176361574898136
2010-08-30,1.654545265649251
2010-08-31,3.0539494936997267
2010-09-01,2.353228850158807
2010-09-02,3.0406107638674955
2010-09-03,1.83394320665064
2010-09-06,1.6016923738540723
2010-09-07,2.7579461410802617
2010-09-08,2.798038104221313
2010-09-09,1.742754366491592
2010-09-10,2.895555077484958
2010-09-13,2.6990674426386523
2010-09-14,2.0560414157535956
2010-09-15,1.9957797356468596
2010-09-16,1.587194138901941
2010-09-17,2.5079751727355175
2010-09-21,2.5483723701204686
2010-09-22,2.4738876862859085
2010-09-24,1.6628000620095182
2010-09-27,0.8103062036940323
2010-09-28,1.3732652234452902
2010-09-29,1.4191908897165058
2010-09-30,2.344678746302239
2010-10-01,0.8335702954180493
2010-10-04,2.353438667541652
2010-10-05,2.37771932053807
2010-10-06,1.195370882332474
2010-10-07,1.6058563364165286
2010-10-08,2.3593398992307177
2010-10-12,2.1976139895655535
2010-10-13,1.6013367785642245
2010-10-14,2.2538268640467805
2010-10-15,2.2994396258021275
2010-10-18,1.2204178837903263
2010-10-19,2.280194284067337
2010-10-20,2.178679929987198
2010-10-21,1.5000498952274506
2010-10-22,0.5095917363787998
2010-10-25,1.3277234748476423
2010-10-26,2.1059451658955823
2010-10-27,2.2694409217329197
2010-10-28,2.2623169045741673
2010-10-29,1.23339552919618
2010-11-01,2.309015775729911
2010-11-02,2.27163192006267
2010-11-04,2.260679643893136
2010-11-05,1.5037805140436018
2010-11-08,0.557261470804645
2010-11-09,2.156993528098872
2010-11-10,0.9143589837755066
2010-11-11,2.16207196639826
2010-11-12,1.6654009314473526
2010-11-15,1.1271678785775512
2010-11-16,1.8026222121714703
2010-11-17,2.305857388489365
2010-11-18,2.338132712117412
2010-11-19,1.3765726959119324
2010-11-22,2.215798502475268
2010-11-24,2.5014557047095245
2010-11-25,0.851895449594988
2010-11-26,2.402634456629642
2010-11-29,1.6937285406398188
2010-11-30,1.0452726172612634
2010-12-01,2.2824113764558196
2010-12-02,0.9535182046247614
2010-12-03,0.8943174505876355
2010-12-06,2.223943295457955
2010-12-07,1.4868823854060271
2010-12-08,2.205009469369832
2010-12-09,1.132850512627937
2010-12-10,2.2304117031446293
2010-12-13,2.22959036376971
2010-12-14,2.0989210717486224
2010-12-15,2.1932677273962464
2010-12-16,1.435945855328691
2010-12-17,1.7431202864973692
2010-12-20,2.13166760269809
2010-12-21,1.1855876083780217
2010-12-22,2.0880891245499678
2010-12-24,2.102330750419584
2010-12-27,1.9230512601283218
2010-12-28,1.8667814508009648
2010-12-29,0.8554318891457244
