,model
2010-03-26,0.5868132688802806
2010-03-29,0.7468544569649012
2010-03-30,0.7171134251899208
2010-03-31,0.7971101705268093
2010-04-01,0.5777212824594473
2010-04-02,0.9177436130311384
2010-04-05,0.2929633283597421
2010-04-06,1.2266291495112212
2010-04-07,0.7383740851686251
2010-04-08,0.7286892696736331
2010-04-09,0.8102484421695747
2010-04-12,0.9888966552244184
2010-04-13,0.3628367302373705
2010-04-14,0.6940179114746898
2010-04-15,0.8596832716270761
2010-04-16,1.2132175330748818
2010-04-19,0.6289905284979895
2010-04-20,1.2353198318698808
2010-04-21,0.9189352666768289
2010-04-22,0.49476114747671074
2010-04-23,1.4272440824699282
2010-04-26,0.3716389558182952
2010-04-27,1.446025774457913
2010-04-28,1.3676380559478585
2010-04-30,1.6529861535321135
2010-05-06,3.210699552564023
2010-05-07,3.0688832157566694
2010-05-10,2.2531231530863787
2010-05-11,1.3436511322438454
2010-05-12,2.028234326864674
2010-05-13,1.5959003703575787
2010-05-14,2.106402036194785
2010-05-17,2.2349027028622572
2010-05-18,1.8867802489863172
2010-05-19,0.93149166027153
2010-05-20,2.860422981984388
2010-05-21,3.5457206094506803
2010-05-24,1.8090835505131928
2010-05-25,1.3822347134216435
2010-05-26,1.71768158926353
2010-05-27,3.5424930937401573
2010-05-28,2.2656277396655806
2010-05-31,3.4406217566038864
2010-06-01,2.248892406900321
2010-06-02,1.9052736389792306
2010-06-03,0.9038144754031137
2010-06-04,3.577833093837117
2010-06-07,2.5539879311610036
2010-06-08,0.8355110433902089
2010-06-09,1.1621946207720784
2010-06-10,2.5276194078346927
2010-06-11,2.263035826950762
2010-06-14,0.6183692372662726
2010-06-15,1.4880430025569087
2010-06-16,0.8487228324231822
2010-06-17,0.542589812471046
2010-06-18,1.4941025836608972
2010-06-21,1.6850473281497291
2010-06-22,1.544274212495759
2010-06-23,0.7005734794075551
2010-06-24,1.9267750614465289
2010-06-25,1.039967491261539
2010-06-28,0.9854665618342664
2010-06-29,2.245012169040007
2010-06-30,2.938506554317642
2010-07-01,0.9160752904361235
2010-07-02,1.0877838438858642
2010-07-05,1.1956454890077104
2010-07-06,0.9849638139523498
2010-07-07,1.9011283447059972
2010-07-08,2.1273117476273313
2010-07-09,3.1384262847203823
2010-07-12,1.6344853103202992
2010-07-13,3.0152383941258645
2010-07-14,3.0912287958697355
2010-07-15,1.3887643501690234
2010-07-16,2.0187813960451484
2010-07-20,2.266193472925991
2010-07-21,3.067119866406503
2010-07-22,1.6718979642931306
2010-07-23,1.2267461611215258
2010-07-26,2.110315409534194
2010-07-27,1.2015695547713303
2010-07-28,3.1632277659135517
2010-07-29,1.1249502532289104
2010-07-30,3.0210570390031553
2010-08-02,1.7231457554311902
2010-08-03,3.000158013424292
2010-08-04,1.777133742187933
2010-08-05,0.6783446697219646
2010-08-06,1.189794215293391
2010-08-09,3.0807576404865795
2010-08-10,1.1961370902253077
2010-08-11,3.0934147479734824
2010-08-12,0.9605407681916088
2010-08-13,1.4851159392736797
2010-08-16,1.1668959845220153
2010-08-17,1.4616532680042824
2010-08-18,1.434467610687972
2010-08-19,1.5863578620044585
2010-08-20,2.3192629190416687
2010-08-23,3.1349650075844986
2010-08-24,1.955640955796342
2010-08-25,1.4844425008231006
2010-08-26,1.3622824565391107
2010-08-27,1.6847069353770174
2010-08-30,1.6547161208021346
2010-08-31,1.314023185341446
2010-09-01,2.0870297396481607
2010-09-02,1.6919833828289466
2010-09-03,1.6946049116303228
2010-09-06,0.783177004573784
2010-09-07,1.3585292084205873
2010-09-08,1.2229551933294147
2010-09-09,1.302510345338803
2010-09-10,1.5241716161017154
2010-09-13,0.33949200627957843
2010-09-14,1.7146172890060682
2010-09-15,1.5318286062593278
2010-09-16,1.1550616685846804
2010-09-17,1.4572661260466226
2010-09-21,1.2299882027806772
2010-09-22,2.058692791454293
2010-09-24,1.2118166402726107
2010-09-27,1.7759021796036896
2010-09-28,1.1404009372912598
2010-09-29,1.579411438509569
2010-09-30,0.9431440552859014
2010-10-01,0.5834851001892943
2010-10-04,1.5333814619555994
2010-10-05,1.3582335758369526
2010-10-06,1.0650805447289295
2010-10-07,1.0696686775984592
