,model
2010-03-26,0.48779088248536995
2010-03-29,0.5403669716236922
2010-03-30,0.8129488128544886
2010-03-31,0.8416934675619165
2010-04-01,0.2969813898261551
2010-04-02,0.8402559374793545
2010-04-05,0.47966699896637754
2010-04-06,0.28302808267876495
2010-04-07,0.4296259880906923
2010-04-08,0.6325118109764192
2010-04-09,0.6040477439750049
2010-04-12,0.8365868304048651
2010-04-13,0.8649000511038626
2010-04-14,0.8198263505139524
2010-04-15,0.8770438774990574
2010-04-16,0.47835478452103775
2010-04-19,1.0195676195026988
2010-04-20,0.8829181530307684
2010-04-21,0.8073336863778736
2010-04-22,1.1981224721562431
2010-04-23,1.2569125485280912
2010-04-26,0.8993530972102507
2010-04-27,0.9859300975748291
2010-04-28,1.225198642749349
2010-04-30,1.716530792826215
2010-05-06,6.132286885308994
2010-05-07,1.6321582827189594
2010-05-10,2.6360828505684095
2010-05-11,1.404322229108934
2010-05-12,3.292610465697496
2010-05-13,1.7787304249558569
2010-05-14,3.2756821438677783
2010-05-17,1.4928487692080976
2010-05-18,3.2836812533476714
2010-05-19,3.7063809485482175
2010-05-20,3.688071023296088
2010-05-21,0.8269341008894646
2010-05-24,2.6163415790703923
2010-05-25,2.9579229371567495
2010-05-26,2.17144358025869
2010-05-27,2.776945739798602
2010-05-28,2.254227896462152
2010-05-31,0.8723769316635464
2010-06-01,2.0132814972853343
2010-06-02,3.763665001065252
2010-06-03,3.3806526467754923
2010-06-04,3.467684070054921
2010-06-07,1.4484415508414785
2010-06-08,3.4193317899819693
2010-06-09,0.8791847271361382
2010-06-10,2.1793625990109415
2010-06-11,1.9840487778658165
2010-06-14,3.0734365526756733
2010-06-15,2.9445771465659893
2010-06-16,2.7912932915822584
2010-06-17,1.5530482739134466
2010-06-18,1.035999431871751
2010-06-21,0.7018516192487745
2010-06-22,1.2432570353441137
2010-06-23,1.8263156418603232
2010-06-24,2.591567187484935
2010-06-25,1.0068375680769113
2010-06-28,2.7191563712349094
2010-06-29,2.7149550822329944
2010-06-30,2.9523291093519894
2010-07-01,2.999421374164659
2010-07-02,0.9181254542044682
2010-07-05,2.778269348779756
2010-07-06,2.8941651831978037
2010-07-07,2.5335226654855303
2010-07-08,0.5508237801979889
2010-07-09,2.377122393343144
2010-07-12,0.9512565783025115
2010-07-13,2.4019712555213037
2010-07-14,2.3926701702658404
2010-07-15,0.9775066022370675
2010-07-16,1.8753832786076177
2010-07-20,1.1653218274844843
2010-07-21,1.4882065863408342
2010-07-22,2.0697829090444406
2010-07-23,1.3577621737851222
2010-07-26,0.6946765029421624
2010-07-27,1.3295677677128916
2010-07-28,0.6982796570700226
2010-07-29,0.5563486176376219
2010-07-30,1.3014526927516985
2010-08-02,1.5335170341895084
2010-08-03,1.0248385220294858
2010-08-04,2.3436832784005217
2010-08-05,0.9898912280175933
2010-08-06,1.180071522359285
2010-08-09,1.0692215381535293
2010-08-10,1.2326474515034316
2010-08-11,2.249209937860113
2010-08-12,2.9398779989381554
2010-08-13,2.525011235293733
2010-08-16,2.978110938654205
2010-08-17,1.267415270504615
2010-08-18,1.6618202148333303
2010-08-19,1.4525032371463764
2010-08-20,2.8235931012853017
2010-08-23,2.7230327313144107
2010-08-24,2.146305296899312
2010-08-25,1.2624021289594496
2010-08-26,2.895100222381827
2010-08-27,2.7133676607514894
2010-08-30,2.8873883805676916
2010-08-31,0.6938806512227256
2010-09-01,1.9958788585863414
2010-09-02,1.0730528096912098
2010-09-03,0.9853104861671439
2010-09-06,1.3099737773833802
2010-09-07,1.4216966823842427
2010-09-08,1.8665746863331962
2010-09-09,1.2672831973017133
2010-09-10,2.0510913982999877
2010-09-13,2.6990674426386523
2010-09-14,1.638456528242544
2010-09-15,2.0820289856437153
2010-09-16,2.561796500824914
2010-09-17,1.563688426497863
2010-09-21,2.5483723701204686
2010-09-22,1.614546684156696
2010-09-24,2.6362287503643778
2010-09-27,0.5858176085106586
2010-09-28,1.2291240222284485
2010-09-29,2.4070925851715455
2010-09-30,2.5217631184710037
2010-10-01,1.5591819840472596
2010-10-04,1.4163960102717525
2010-10-05,2.37771932053807
2010-10-06,1.95166978268723
2010-10-07,1.5975646458219581
2010-10-08,1.1144688685671595
2010-10-12,2.0369498696333888
2010-10-13,2.259768401478987
2010-10-14,0.9223023605791434
2010-10-15,0.40879597443462734
2010-10-18,1.530509139037016
2010-10-19,2.2650085328875234
2010-10-20,2.3858877630536472
2010-10-21,0.8894929267625358
2010-10-22,1.4885237473848287
2010-10-25,2.4269086864024985
2010-10-26,2.4246506042163567
2010-10-27,1.1603887103127215
2010-10-28,1.8021701975804962
2010-10-29,1.2858540214815233
2010-11-01,2.309015775729911
2010-11-02,2.27163192006267
2010-11-04,2.138735855031868
2010-11-05,0.734755001396257
2010-11-08,2.2056764391410564
2010-11-09,1.0499838780210524
2010-11-10,0.6804076298094077
2010-11-11,0.7529345956366073
2010-11-12,0.7554872223775578
2010-11-15,1.0223790383292315
2010-11-16,1.2924454119667068
2010-11-17,1.2095873129211765
2010-11-18,1.188316302502108
2010-11-19,2.3203979358489777
2010-11-22,2.215798502475268
2010-11-24,2.5014557047095245
2010-11-25,0.8824789376905622
2010-11-26,2.402634456629642
2010-11-29,1.7989989225284728
2010-11-30,2.4406207074616546
2010-12-01,2.282411376455819
2010-12-02,0.8089858957831012
2010-12-03,2.087396268079913
2010-12-06,2.223943295457955
2010-12-07,2.209504053983712
2010-12-08,0.474061229544226
2010-12-09,0.6392641133986865
2010-12-10,2.160068990527391
2010-12-13,1.305062572184784
2010-12-14,1.1679553181931936
2010-12-15,0.5211136001781175
2010-12-16,1.311970018138318
2010-12-17,0.5868411253127457
2010-12-20,2.13166760269809
2010-12-21,0.529184772192615
2010-12-22,0.21888126958720633
2010-12-24,2.102330750419584
2010-12-27,0.8205212903435345
2010-12-28,0.7967817660210804
2010-12-29,1.7668279648730565
